country,country_name,aggregation,year,gas,sector,subsector,emissionsQuantity
VNM,Vietnam,sectors,2015,co2,agriculture,,7387190.595828157
VNM,Vietnam,sectors,2015,pm2_5,agriculture,,33825.11504648609
VNM,Vietnam,sectors,2015,so2,agriculture,,0.0
VNM,Vietnam,sectors,2015,co2,buildings,,14743228.950654663
VNM,Vietnam,sectors,2015,pm2_5,buildings,,89767.182
VNM,Vietnam,sectors,2015,so2,buildings,,58147.683000000005
VNM,Vietnam,sectors,2015,co2,fluorinated-gases,,0.0
VNM,Vietnam,sectors,2015,pm2_5,fluorinated-gases,,18434.585625237054
VNM,Vietnam,sectors,2015,so2,fluorinated-gases,,11752.831249252273
VNM,Vietnam,sectors,2015,co2,forestry-and-land-use,,-20069558.305485167
VNM,Vietnam,sectors,2015,pm2_5,forestry-and-land-use,,58243.561299999994
VNM,Vietnam,sectors,2015,so2,forestry-and-land-use,,2673.9970200000002
VNM,Vietnam,sectors,2015,co2,fossil-fuel-operations,,17352697.690832824
VNM,Vietnam,sectors,2015,pm2_5,fossil-fuel-operations,,861.2009014754514
VNM,Vietnam,sectors,2015,so2,fossil-fuel-operations,,69244.46908991269
VNM,Vietnam,sectors,2015,co2,manufacturing,,59998825.5799517
VNM,Vietnam,sectors,2015,pm2_5,manufacturing,,94626.06376423674
VNM,Vietnam,sectors,2015,so2,manufacturing,,195903.26089694488
VNM,Vietnam,sectors,2015,co2,mineral-extraction,,1026419.491394612
VNM,Vietnam,sectors,2015,pm2_5,mineral-extraction,,1168.490030093911
VNM,Vietnam,sectors,2015,so2,mineral-extraction,,3970.3468724449913
VNM,Vietnam,sectors,2015,co2,power,,84023127.4710478
VNM,Vietnam,sectors,2015,pm2_5,power,,2599.0
VNM,Vietnam,sectors,2015,so2,power,,57168.0
VNM,Vietnam,sectors,2015,co2,transportation,,26220902.715703193
VNM,Vietnam,sectors,2015,pm2_5,transportation,,11605.088286328877
VNM,Vietnam,sectors,2015,so2,transportation,,84498.08249149815
VNM,Vietnam,sectors,2015,co2,waste,,41286.11164042198
VNM,Vietnam,sectors,2015,pm2_5,waste,,2728.4404880557627
VNM,Vietnam,sectors,2015,so2,waste,,251.30399838206125
VNM,Vietnam,subsectors,2015,co2,agriculture,crop-residues,0.0
VNM,Vietnam,subsectors,2015,pm2_5,agriculture,crop-residues,0.0
VNM,Vietnam,subsectors,2015,so2,agriculture,crop-residues,0.0
VNM,Vietnam,subsectors,2015,co2,agriculture,cropland-fires,0.0
VNM,Vietnam,subsectors,2015,pm2_5,agriculture,cropland-fires,30262.66602652
