country,country_name,aggregation,data_month,year,month,gas,emissionsQuantity,sector,subsector
VNM,Vietnam,totals,2021-01,2021,1,co2,32128773.22265221,,
VNM,Vietnam,totals,2021-02,2021,2,co2,29957223.254528597,,
VNM,Vietnam,totals,2021-03,2021,3,co2,33425195.835956752,,
VNM,Vietnam,totals,2021-04,2021,4,co2,33218243.912230596,,
VNM,Vietnam,totals,2021-05,2021,5,co2,34272166.54403916,,
VNM,Vietnam,totals,2021-06,2021,6,co2,33058721.970638197,,
VNM,Vietnam,totals,2021-07,2021,7,co2,33457793.723481245,,
VNM,Vietnam,totals,2021-08,2021,8,co2,33071457.91585629,,
VNM,Vietnam,totals,2021-09,2021,9,co2,32016510.27956568,,
VNM,Vietnam,totals,2021-10,2021,10,co2,32708616.78729868,,
VNM,Vietnam,totals,2021-11,2021,11,co2,31853562.818297643,,
VNM,Vietnam,totals,2021-12,2021,12,co2,31566487.249513466,,
VNM,Vietnam,sectors,2021-01,2021,1,co2,476472.6269453571,agriculture,
VNM,Vietnam,sectors,2021-01,2021,1,co2,1447756.34563,buildings,
VNM,Vietnam,sectors,2021-01,2021,1,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-01,2021,1,co2,5504525.720462738,forestry-and-land-use,
VNM,Vietnam,sectors,2021-01,2021,1,co2,1359984.8145049387,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-01,2021,1,co2,9719748.916190196,manufacturing,
VNM,Vietnam,sectors,2021-01,2021,1,co2,65783.48151849811,mineral-extraction,
VNM,Vietnam,sectors,2021-01,2021,1,co2,10880527.956807757,power,
VNM,Vietnam,sectors,2021-01,2021,1,co2,2669864.59247194,transportation,
VNM,Vietnam,sectors,2021-01,2021,1,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-02,2021,2,co2,492590.3374119654,agriculture,
VNM,Vietnam,sectors,2021-02,2021,2,co2,1120827.80076,buildings,
VNM,Vietnam,sectors,2021-02,2021,2,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-02,2021,2,co2,5505516.55488257,forestry-and-land-use,
VNM,Vietnam,sectors,2021-02,2021,2,co2,1359984.8145049387,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-02,2021,2,co2,8756618.319086546,manufacturing,
VNM,Vietnam,sectors,2021-02,2021,2,co2,68024.77384164583,mineral-extraction,
VNM,Vietnam,sectors,2021-02,2021,2,co2,10315624.850704242,power,
VNM,Vietnam,sectors,2021-02,2021,2,co2,2333927.0352159077,transportation,
VNM,Vietnam,sectors,2021-02,2021,2,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-03,2021,3,co2,609795.2596082329,agriculture,
VNM,Vietnam,sectors,2021-03,2021,3,co2,1196576.78176,buildings,
VNM,Vietnam,sectors,2021-03,2021,3,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-03,2021,3,co2,5502840.832762575,forestry-and-land-use,
VNM,Vietnam,sectors,2021-03,2021,3,co2,1359984.8145049387,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-03,2021,3,co2,9865532.667858759,manufacturing,
VNM,Vietnam,sectors,2021-03,2021,3,co2,67810.23815597537,mineral-extraction,
VNM,Vietnam,sectors,2021-03,2021,3,co2,12059529.625737598,power,
VNM,Vietnam,sectors,2021-03,2021,3,co2,2759016.847447891,transportation,
VNM,Vietnam,sectors,2021-03,2021,3,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-04,2021,4,co2,670628.9945846376,agriculture,
VNM,Vietnam,sectors,2021-04,2021,4,co2,1137923.83455,buildings,
VNM,Vietnam,sectors,2021-04,2021,4,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-04,2021,4,co2,5502175.051162567,forestry-and-land-use,
VNM,Vietnam,sectors,2021-04,2021,4,co2,1344028.8536492377,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-04,2021,4,co2,9627124.036468517,manufacturing,
VNM,Vietnam,sectors,2021-04,2021,4,co2,63295.973499897016,mineral-extraction,
VNM,Vietnam,sectors,2021-04,2021,4,co2,12174262.533087999,power,
VNM,Vietnam,sectors,2021-04,2021,4,co2,2694695.8671069555,transportation,
VNM,Vietnam,sectors,2021-04,2021,4,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-05,2021,5,co2,590023.5854571273,agriculture,
VNM,Vietnam,sectors,2021-05,2021,5,co2,1173585.48441,buildings,
VNM,Vietnam,sectors,2021-05,2021,5,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-05,2021,5,co2,5498694.055592567,forestry-and-land-use,
VNM,Vietnam,sectors,2021-05,2021,5,co2,1344028.8536492374,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-05,2021,5,co2,9806017.594468314,manufacturing,
VNM,Vietnam,sectors,2021-05,2021,5,co2,59504.91418335432,mineral-extraction,
VNM,Vietnam,sectors,2021-05,2021,5,co2,13007855.146155199,power,
VNM,Vietnam,sectors,2021-05,2021,5,co2,2788348.142002579,transportation,
VNM,Vietnam,sectors,2021-05,2021,5,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-06,2021,6,co2,529059.2091002594,agriculture,
VNM,Vietnam,sectors,2021-06,2021,6,co2,1135718.51911,buildings,
VNM,Vietnam,sectors,2021-06,2021,6,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-06,2021,6,co2,5496104.28330239,forestry-and-land-use,
VNM,Vietnam,sectors,2021-06,2021,6,co2,1359984.8145049387,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-06,2021,6,co2,9420315.653164351,manufacturing,
VNM,Vietnam,sectors,2021-06,2021,6,co2,57944.30843910984,mineral-extraction,
VNM,Vietnam,sectors,2021-06,2021,6,co2,12421747.08780824,power,
VNM,Vietnam,sectors,2021-06,2021,6,co2,2633739.327088125,transportation,
VNM,Vietnam,sectors,2021-06,2021,6,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-07,2021,7,co2,503674.9550065928,agriculture,
VNM,Vietnam,sectors,2021-07,2021,7,co2,1173577.2602600001,buildings,
VNM,Vietnam,sectors,2021-07,2021,7,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-07,2021,7,co2,5496484.174187997,forestry-and-land-use,
VNM,Vietnam,sectors,2021-07,2021,7,co2,1349347.5072678046,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-07,2021,7,co2,9597407.405004675,manufacturing,
VNM,Vietnam,sectors,2021-07,2021,7,co2,53631.94543634364,mineral-extraction,
VNM,Vietnam,sectors,2021-07,2021,7,co2,12640307.651049841,power,
VNM,Vietnam,sectors,2021-07,2021,7,co2,2639254.057147203,transportation,
VNM,Vietnam,sectors,2021-07,2021,7,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-08,2021,8,co2,523486.00231809774,agriculture,
VNM,Vietnam,sectors,2021-08,2021,8,co2,1173602.92338,buildings,
