date, pm25, pm10, o3, no2, so2, co
2024/4/1, 126, 67, 17, 11, 9, 2
2024/4/2, 115, 66, 15, 14, 3, 1
2024/4/3, 111, 66, 10, 13, 4, 1
2024/4/4, 112, 53, 10, 10, 4, 1
2024/4/5, 79, 49, 8, 11, 5, 1
2024/4/6, 74, 47, 7, 13, 4, 1
2024/4/7, 82, 42, 2, 14, 17, 1
2024/4/8, 49, 61, 5, 18, 5, 1
2024/4/9, 90, 69, 5, 21, 11, 2
2024/4/10, 130, 68, 10, 17, 11, 1
2024/4/11, 130, 60, 11, 13, 10, 1
2024/4/12, 103, 53, 11, 9, 6, 1
2024/4/13, 75, 61, 9, 10, 10, 1
2024/4/14, 93, 55, 8, 12, 7, 1
2024/4/15, 83, 59, 17, 12, 10, 1
2024/4/16, 84, 60, 9, 11, 10, 1
2024/4/17, 97, 49, 17, 11, 9, 1
2024/4/18, 76, 60, 14, 12, 9, 1
2024/4/19, 94, 71, 22, 12, 8, 1
2024/4/20, 113, 70, 17, 14, 7, 1
2024/4/21, 117, 61, 11, 19, 14, 1
2024/4/22, 91, 62, 9, 15, 6, 1
2024/4/23, 86, 60, 6, 19, 7, 1
2024/4/24, 101, 77, 22, 15, 8, 1
2024/4/25, 134, 71, 35, 12, 7, 1
2024/4/26, 128, 88, 37, 16, 12, 2
2024/4/27, 145, 83, 25, 12, 12, 1
2024/4/28, 128, 68, 19, 9, 11, 1
2024/4/29, 105, 78, 29, 9, 12, 1
2024/4/30, 132, 11, 17, 8, 11, 1
2024/5/1, 15, 5, 7, 17, 22, 1
2024/5/2, 8, , , , , 
2024/2/5, 70, 55, 57, 8, 15, 2
2024/2/6, 101, 60, 38, 9, 17, 4
2024/2/7, 100, 53, 9, 5, 15, 4
2024/2/8, 93, 52, 18, 4, 15, 4
2024/2/9, 86, 121, 32, 4, 16, 3
2024/2/10, 211, , 12, 8, 18, 5
2024/2/14, 86, 70, 21, 4, 18, 2
2024/2/15, 103, 59, 13, 14, 20, 3
2024/2/16, 102, 50, 39, 11, 23, 4
2024/2/17, 63, 43, 35, 7, 21, 3
2024/2/18, 50, 37, 31, 5, 20, 2
2024/2/19, 46, 36, 20, 7, 22, 2
2024/2/20, 59, 50, 22, 7, 22, 2
2024/2/21, 74, 45, 20, 8, 21, 2
2024/2/22, 70, 53, 19, 11, 21, 3
2024/2/23, 96, 20, 9, 12, 23, 2
2024/2/24, 30, 22, 7, 6, 20, 2
2024/2/25, 30, 44, 11, 6, 20, 2
2024/2/26, 62, 42, 9, 9, 19, 2
2024/2/27, 50, 52, 12, 10, 35, 2
2024/2/28, 82, 27, 7, 12, 19, 2
2024/2/29, 29, 48, 10, 10, 15, 2
2024/3/1, 67, 60, 10, 11, 16, 3
2024/3/2, 102, 69, 18, 15, 19, 3
2024/3/3, 129, 69, 18, 13, 12, 3
2024/3/4, 133, 111, 12, 16, 12, 5
2024/3/5, 197, 75, 56, 20, 7, 5
2024/3/6, 126, 48, 51, 17, 4, 1
2024/3/7, 72, 56, 42, 16, 7, 2
2024/3/8, 95, 53, 15, 22, 7, 2
2024/3/9, 94, 28, 8, 15, 25, 2
2024/3/10, 40, 29, 10, 8, 10, 2
2024/3/11, 42, 53, 20, 13, 9, 2
2024/3/12, 85, 43, 38, 19, 12, 1
2024/3/13, 65, 29, 19, 16, 14, 2
2024/3/14, 44, 46, 10, 16, 11, 1
2024/3/15, 82, 37, 20, 12, 8, 2
2024/3/16, 59, 39, 19, 11, 7, 2
2024/3/17, 62, 34, 23, 10, 8, 2
2024/3/18, 54, 43, 20, 9, 8, 2
2024/3/19, 74, 29, 25, 12, 17, 2
2024/3/20, 29, 41, 3, 26, 17, 2
2024/3/21, 55, 55, 62, 12, 15, 2
2024/3/22, 86, 43, 24, 16, 18, 2
2024/3/23, 60, 32, 34, 8, 14, 2
2024/3/24, 50, 28, 20, 9, 9, 2
2024/3/25, 44, 37, 39, 8, 9, 1
2024/3/26, 53, 43, 22, 12, 10, 2
2024/3/27, 68, 51, 19, 8, 15, 2
2024/3/28, 88, 66, 9, 13, 13, 3
2024/3/29, 120, 68, 18, 16, 13, 3
2024/3/30, 125, 65, 26, 12, 14, 3
2024/3/31, 119, 70, 34, 8, 10, 2
2023/9/14, 6, 3, , 6, 1, 2
2023/9/15, 6, 1, , 6, 1, 1
2023/9/16, 2, , , 6, 1, 2
2022/11/1, 1, 2, 6, 5, 33, 3
2022/11/2, 2, 1, 6, 5, 29, 4
2022/11/3, 2, 1, 6, 5, 26, 3
2022/11/4, 2, 1, 6, 5, 29, 2
2022/11/5, 2, 1, 6, 5, 22, 2
2022/11/6, 1, 1, 6, 5, 21, 2
2022/11/7, 2, 1, 6, 5, 21, 2
2022/11/8, 2, 1, 6, 5, 21, 3
2022/11/9, 1, 1, 6, 5, 20, 2
2022/11/10, 1, 1, 6, 5, 19, 3
2022/11/11, 1, 1, 6, 5, 19, 2
2022/11/12, 1, , 6, 5, 18, 1
2022/11/14, 1, 1, 6, , 19, 2
2022/11/15, 1, 1, 6, , 18, 1
2022/11/16, 1, , , , 18, 1
2022/11/17, 1, , 6, 5, 19, 1
2022/11/18, 1, , 5, 5, 17, 1
2022/7/1, 72, 91, 5, 5, 19, 1
2022/7/2, 141, 57, 5, 5, 11, 1
2022/7/3, 87, 51, 5, 5, 10, 1
2022/7/4, 72, 44, 5, 5, 10, 1
2022/7/5, 58, , 5, 5, 11, 1
2022/8/17, 76, 113, 5, 5, 14, 1
2022/8/18, 103, , 5, 5, 13, 1
2022/4/1, 26, 43, 5, 5, 7, 1
2022/4/2, 52, 57, 4, 5, 9, 2
2022/4/3, 76, 84, 4, 5, 14, 2
2022/4/4, 116, 91, 4, 5, 12, 2
2022/4/5, 139, 97, 4, 5, 14, 3
2022/4/6, 161, 104, 4, 5, 25, 3
2022/4/7, 175, 106, 4, 5, 15, 4
2022/4/8, 168, 86, 5, 5, 20, 1
2022/4/9, 124, 60, 5, 5, 13, 1
2022/4/10, 88, 83, 6, 5, 10, 2
2022/4/11, 129, 58, 5, 5, 8, 1
2022/4/12, 82, 86, 5, 5, 9, 2
2022/4/13, 125, 72, 4, 5, 7, 1
2022/4/14, 106, 60, 5, 5, 9, 2
2022/4/15, 101, 37, 4, 5, 13, 2
2022/4/16, 55, 26, 5, , 22, 2
2022/4/17, 35, 33, 5, , 15, 2
2022/4/18, 46, 83, 5, , 11, 2
2022/4/19, 118, 82, 5, , 17, 3
2022/4/20, 117, 78, 4, , 24, 3
2022/4/21, 131, 55, 4, 5, 9, 1
2022/4/22, 98, , , , , 
2022/4/28, 57, 42, 4, 5, 8, 1
