date, pm25, pm10, o3, no2, so2, co
2024/10/22, 2, 6, 3, 5, 6, 2
2024/10/23, 2, , , , , 
2024/7/1, 11, 9, 7, 1, 10, 4
2024/7/2, 10, 10, 8, 2, 10, 4
2024/7/3, 15, 7, 5, , 10, 4
2024/7/4, 10, 5, 6, 1, 9, 4
2024/7/5, 5, 6, 7, 1, 10, 5
2024/7/6, 5, 4, 6, , 10, 4
2024/7/7, 6, 5, 6, 1, 11, 4
2024/7/8, 8, 6, 9, , 10, 4
2024/7/9, 9, 6, 10, 1, 10, 5
2024/7/10, 9, 6, 9, 1, 10, 5
2024/7/11, 8, 6, 8, 1, 10, 5
2024/7/12, 9, 6, 8, 1, 10, 5
2024/7/13, 7, 5, 7, 1, 10, 5
2024/7/14, 5, 7, 7, 1, 10, 5
2024/7/15, 8, 6, 7, 1, 8, 4
2024/7/16, 8, 5, 6, 2, 8, 5
2024/7/17, 6, 3, 6, 1, 10, 5
2024/7/18, 3, 4, 6, 1, 10, 6
2024/7/19, 5, 6, 5, 1, 11, 6
2024/7/20, 8, 8, 7, 1, 11, 5
2024/7/21, 9, 4, 6, 1, 11, 5
2024/7/22, 5, 15, 5, 1, 33, 5
2024/7/23, 3, 1, 6, 2, 12, 6
2024/7/24, 3, 4, 8, , 10, 6
2024/7/25, 6, 11, 23, 3, 10, 6
2024/7/26, 20, 6, 3, , 10, 3
2024/7/27, 7, 4, 2, , 10, 3
2024/7/28, 4, 4, 2, 1, 10, 3
2024/7/29, 3, 2, 2, 2, 10, 3
2024/7/30, 1, 3, 2, 2, 10, 3
2024/7/31, 4, 8, 2, 2, 10, 3
2024/8/1, 10, 6, 2, 2, 9, 2
2024/8/2, 7, 7, 2, 1, 9, 2
2024/8/3, 8, 4, 2, 2, 9, 2
2024/8/4, 4, 4, 2, 1, 9, 2
2024/8/5, 4, 5, 2, 1, 9, 2
2024/8/6, 5, 5, 2, 1, 9, 2
2024/8/7, 5, 4, 2, 1, 9, 2
2024/8/8, 4, 4, 2, 1, 9, 2
2024/8/9, 5, 5, 3, 1, 9, 2
2024/8/10, 5, 5, 2, , 9, 2
2024/8/11, 5, 1, 2, 1, 9, 3
2024/8/12, 3, 3, 2, 1, 9, 2
2024/8/13, 2, 10, 2, 1, 9, 3
2024/8/14, 10, 3, 2, 1, 9, 3
2024/8/15, 6, 1, 2, 2, 9, 4
2024/8/28, 1, 7, 2, 1, 9, 3
2024/8/29, 8, 1, 3, 1, 8, 3
2024/8/30, 2, 1, 2, 2, 8, 4
2024/4/1, 20, 13, 11, 2, 5, 5
2024/4/2, 21, 16, 10, 2, 5, 5
2024/4/3, 25, 16, 9, 1, 6, 5
2024/4/4, 24, 17, 9, 3, 6, 5
2024/4/5, 25, 23, 8, 4, 6, 6
2024/4/6, 27, 20, 6, 4, 6, 6
2024/4/7, 22, 11, 5, 2, 6, 6
2024/4/8, 10, 11, 9, 4, 6, 6
2024/4/9, 7, 16, 11, 4, 6, 6
2024/4/10, 21, 15, 11, 3, 6, 5
2024/4/11, 20, 17, 9, 2, 6, 5
2024/4/12, 21, 12, 9, 1, 6, 5
2024/4/13, 14, 10, 8, 1, 6, 4
2024/4/14, 13, 9, 9, 1, 6, 4
2024/4/15, 10, 6, 10, 2, 6, 4
2024/4/16, 6, 5, 8, 1, 6, 4
2024/4/17, 6, 6, 10, 1, 6, 4
2024/4/18, 5, 9, 10, 1, 6, 4
2024/4/19, 13, 12, 10, 1, 6, 4
2024/4/20, 17, 13, 15, 3, 6, 5
2024/4/21, 14, 9, 13, 4, 6, 5
2024/4/22, 8, 15, 9, 4, 7, 4
2024/4/23, 15, 23, 6, 7, 7, 6
2024/4/24, 21, 13, 11, 3, , 6
2024/4/25, 15, 18, 13, 1, , 6
2024/4/26, 25, 23, 16, 3, 7, 6
2024/4/27, 32, 22, 10, 4, 7, 6
2024/4/28, 30, 19, 12, 1, 7, 5
2024/4/29, 27, 20, 14, 2, , 6
2024/4/30, 29, 11, 14, 5, 7, 6
2024/5/1, 9, 6, 8, 7, 7, 7
2024/5/2, 5, 6, 11, 4, 7, 7
2024/5/3, 6, 8, 15, 2, 7, 6
2024/5/4, 8, 17, 14, 7, 7, 6
2024/5/5, 16, 22, 8, 11, 7, 7
2024/5/6, 21, 13, 11, 5, 7, 24
2024/5/7, 17, 16, 8, 4, 7, 7
2024/5/8, 16, 16, 12, 6, 7, 4
