date, pm25, pm10, o3, no2, so2, co
2020/6/22, 10, 23, 20, 20, 12, 2
2020/6/23, 10, 20, 22, 18, 16, 2
2020/6/24, 8, 14, 24, 15, 11, 2
2020/6/25, 7, 23, 26, 13, 11, 2
2020/6/26, 9, , , , , 
2020/2/25, 162, 10, 16, 14, 13, 3
2020/2/26, 109, 2, 9, 17, 14, 3
2020/2/27, 2, , , , , 
2019/10/8, 5, 7, 20, 15, 5, 4
2019/10/9, 5, 8, 14, 17, 6, 4
2019/10/10, 6, , , , , 
2019/7/1, 19, 37, 36, 12, 6, 4
2019/7/2, 15, 26, 45, 6, 6, 4
2019/7/3, 12, 13, 27, 4, 6, 3
2019/7/4, 8, , , , , 
2019/7/7, 17, 47, 61, 13, 7, 3
2019/7/8, 18, 52, 69, 10, 6, 4
2019/7/9, 23, 33, 18, 14, 6, 4
2019/7/10, 17, 36, 27, 22, 6, 4
2019/7/11, 15, 50, 35, 16, 6, 4
2019/7/12, 17, 45, 56, 9, 5, 4
2019/7/13, 18, 33, 29, 12, 6, 4
2019/7/14, 15, 1, 16, 29, 8, 4
2019/7/15, 1, 40, 14, 19, 6, 4
2019/7/16, 19, 43, 24, 17, 6, 4
2019/7/17, 15, 50, 26, 21, 6, 4
2019/7/18, 18, 54, 38, 20, 6, 4
2019/7/19, 19, 45, 25, 23, 6, 4
2019/7/20, 16, 42, 33, 19, , 3
2019/7/21, 14, 28, 28, 15, , 3
2019/7/22, 11, 34, 16, 19, 5, 3
2019/7/23, 12, 42, 9, 21, 6, 3
2019/7/24, 13, 32, 12, 18, 6, 3
2019/7/25, 11, , , , , 
2019/7/28, 13, 33, 25, 14, 6, 4
2019/7/29, 11, 11, 25, 13, 7, 3
2019/7/30, 7, 1, 31, 7, 6, 3
2019/8/1, 6, 14, 23, 7, 6, 4
2019/8/2, 9, 11, 18, 12, 6, 4
2019/8/3, 6, 8, 20, 6, 6, 4
2019/8/4, 3, 21, 24, 10, 6, 3
2019/8/5, 6, 30, 31, 11, 7, 4
2019/8/6, 12, 33, 54, 16, 6, 4
2019/8/7, 15, 35, 58, 15, 5, 4
2019/8/8, 16, 27, 44, 15, 6, 4
2019/8/9, 13, 31, 64, 18, 6, 5
2019/8/10, 17, 25, 45, 11, 5, 4
2019/8/11, 8, 28, 43, 15, 5, 4
2019/8/12, 11, 32, 73, 15, 5, 4
2019/8/13, 16, 40, 52, 21, 8, 4
2019/8/14, 16, 35, 53, 20, 7, 4
2019/8/15, 16, 28, 18, 23, 7, 4
2019/8/16, 12, 30, 34, 20, 7, 4
2019/8/17, 12, 27, 49, 11, 6, 4
2019/8/18, 12, 42, 29, 25, 7, 4
2019/8/19, 18, 36, 26, 19, 7, 5
2019/8/20, 14, 26, 39, 16, 7, 4
2019/8/21, 9, 22, 25, 15, 5, 4
2019/8/22, 7, 25, 21, 14, 5, 4
2019/8/23, 8, 21, 49, 11, , 4
2019/8/24, 8, 32, 65, 14, , 5
2019/8/25, 16, 31, 41, 16, 7, 5
2019/8/26, 19, 29, 17, 20, 6, 4
2019/8/27, 13, 23, 23, 13, , 4
2019/8/28, 8, 18, 33, 8, , 4
2019/8/29, 10, 14, 16, 10, , 4
2019/8/30, 6, 12, 15, 10, , 4
2019/8/31, 4, 10, 19, 8, , 4
2019/9/1, 3, 11, 47, 3, , 4
2019/9/2, 8, 8, 39, 2, , 4
2019/9/3, 7, 8, 45, 3, , 4
2019/9/4, 7, 20, 50, 10, 9, 4
2019/9/5, 11, 31, 74, 13, 6, 5
2019/9/6, 17, 30, 44, 21, 8, 4
2019/9/7, 15, 23, 28, 15, 5, 4
2019/9/8, 10, 25, 23, 17, 5, 4
2019/9/9, 9, 14, 19, 13, 5, 4
2019/9/10, 5, 23, 18, 19, 6, 4
2019/9/11, 7, 21, 37, 13, 6, 4
2019/9/12, 7, 30, 51, 19, 6, 4
2019/9/13, 10, 28, 67, 14, 7, 5
2019/9/14, 10, 24, 66, 11, 5, 5
2019/9/15, 11, 24, 48, 11, 5, 5
2019/9/16, 12, 25, 72, 13, 7, 5
2019/9/17, 14, 27, 58, 14, 6, 5
2019/9/18, 14, 20, 45, 12, 5, 5
2019/9/19, 14, 23, 72, 10, 5, 5
2019/9/20, 15, 12, 52, 6, 6, 5
2019/9/21, 10, 7, 68, 4, 6, 4
