date, pm25, pm10, o3, no2, so2, co
2025/4/7, 11, 57, 10, 13, 3, 
2025/4/8, 49, , 10, 10, 3, 
2025/4/28, 18, 54, 13, 3, 4, 
2025/4/29, 37, 53, 12, 3, 4, 
2025/4/30, 43, 39, 11, 2, 4, 
2025/5/1, 25, 44, 15, 2, 4, 
2025/5/2, 28, 44, 7, 1, 4, 
2025/5/3, 27, 55, 7, 1, 4, 
2025/5/4, 37, 51, 9, 1, 4, 
2025/5/5, 36, 49, 8, 1, 4, 
2025/5/6, 33, 47, 8, 1, 4, 
2025/5/7, 30, 52, 11, 1, 4, 
2025/5/8, 30, 58, 11, 2, 4, 
2025/5/9, 27, 52, 11, 1, 5, 
2025/5/10, 21, 36, 10, 1, , 
2025/5/11, 8, 58, 18, 2, 5, 
2025/5/12, 15, 84, 12, 5, 5, 
2025/5/13, 30, 56, 10, 2, 5, 
2025/5/14, 23, , 6, 2, 5, 
2024/10/22, 21, 3, 14, 1, 4, 4
2024/10/23, 4, , , , , 
2024/11/22, 1, 3, 21, 3, 2, 6
2024/11/23, 2, 4, 16, 3, 2, 6
2024/11/24, 1, 3, 19, 3, 2, 6
2024/11/25, 1, 3, 14, 2, 3, 6
2024/11/26, 5, 3, 19, 2, 3, 6
2024/11/28, 3, 4, 13, 3, 1, 4
2024/11/29, 2, 4, 32, 9, 5, 4
2024/11/30, 2, 4, 35, 8, 3, 3
2024/12/1, 1, 5, 27, 8, 1, 11
2024/12/2, 2, 4, 22, 8, 1, 4
2024/12/3, 3, 4, 29, 8, 1, 3
2024/12/4, 2, 4, 21, 8, 1, 3
2024/12/5, 1, 4, 33, 7, 1, 3
2024/12/6, 4, 6, 26, 5, 1, 4
2024/12/7, 8, 2, 13, 4, 1, 17
2024/12/10, 6, 3, 12, 8, 1, 5
2024/12/11, 3, 3, 12, 4, 1, 4
2024/12/12, 3, 2, 14, 1, , 12
2024/12/13, 4, 2, 15, 3, , 31
2024/12/14, 1, 2, 18, 2, , 11
2024/12/16, 2, 3, 4, 13, 1, 12
2024/7/2, 1, 2, 15, 3, 6, 7
2024/7/3, 2, 3, 3, 2, 6, 
2024/7/4, 2, 3, 3, 2, 6, 
2024/7/5, 1, 3, 3, 3, 6, 
2024/7/6, 2, 3, 3, 2, 6, 
2024/7/7, 1, 3, 3, 2, 6, 
2024/7/8, 2, 3, 3, 2, 6, 3
2024/7/9, 2, 3, 3, 3, 6, 3
2024/7/10, 1, 3, 3, 3, 6, 3
2024/7/11, 1, 3, 3, 4, 6, 16
2024/7/12, 1, 3, 3, 4, 7, 8
2024/7/13, 1, 3, 3, 4, 7, 15
2024/7/14, 1, 3, 3, 4, 7, 25
2024/7/25, 3, 3, 14, 3, 7, 3
2024/8/6, 72, 14, 13, 4, 11, 5
2024/8/7, 224, 55, 14, 5, 14, 9
2024/8/9, 38, 36, 13, 4, 7, 3
2024/8/10, 31, 39, 6, 4, 8, 4
2024/8/11, 36, 37, 3, 2, 8, 3
2024/8/12, 28, 61, 3, 4, 8, 3
2024/8/13, 32, 57, 3, 3, 8, 3
2024/8/14, 26, 61, 3, 3, 8, 3
2024/8/15, 23, 52, 2, 4, 9, 4
2024/8/16, 8, 31, 15, 4, 8, 4
2024/8/17, 2, 16, 20, 4, 7, 4
2024/8/19, 20, 15, 22, 3, 7, 4
2024/8/20, 8, 11, 16, 3, 7, 24
2024/8/22, 10, 18, 11, 3, 7, 11
2024/8/23, 6, 12, 7, 4, 7, 7
2024/8/24, 4, 11, 16, 3, 7, 3
2024/8/25, 3, 7, 14, 3, 7, 3
2024/8/26, 5, 12, 16, 2, 7, 3
2024/8/27, 5, 11, 16, 3, 7, 3
2024/8/28, 16, 16, 21, 3, 7, 4
2024/8/29, 31, 26, 14, 5, 7, 3
2024/8/31, 1, 13, 18, 4, 8, 3
2024/9/1, 1, 8, 10, 1, 7, 4
2024/9/2, 1, 13, 13, 2, 7, 3
2024/9/3, 24, 17, 14, 3, 8, 13
2024/9/4, 19, 20, 17, 3, 8, 32
2024/9/5, 2, 3, 18, 3, 8, 16
2024/4/1, 7, 16, 18, 6, 6, 6
2024/4/2, 8, 16, 17, 6, 5, 6
2024/4/3, 7, 15, 16, 4, 5, 5
2024/4/4, 6, 15, 11, 6, 6, 5
2024/4/5, 7, 17, 11, 4, 5, 5
2024/4/6, 5, 11, 10, 4, 5, 5
2024/4/7, 3, 5, 7, 2, 5, 5
2024/4/8, 1, 5, 11, 2, 5, 5
2024/4/9, 1, 10, 12, 8, 7, 6
2024/4/10, 5, 9, 9, 7, 5, 5
2024/4/11, 6, 10, 9, 4, 5, 5
2024/4/12, 3, 8, 10, 3, 4, 4
2024/4/13, 3, 15, 10, 3, , 4
2024/4/14, 5, 10, 10, 3, , 3
2024/4/15, 3, 6, 10, 3, 7, 4
2024/4/16, 2, 12, 8, 3, 5, 3
2024/4/17, 3, 9, 11, 4, 5, 4
2024/4/18, 2, 13, 13, 2, 6, 4
2024/4/19, 4, 14, 15, 3, , 
2024/4/20, 5, 11, 19, 4, 6, 4
2024/4/21, 3, 9, 15, 7, 7, 5
2024/4/22, 2, 13, 11, 5, 11, 4
2024/4/23, 2, 17, 7, 8, 6, 5
2024/4/24, 3, 12, 13, 4, 5, 4
2024/4/25, 2, 12, 17, 4, 6, 5
2024/4/26, 4, 13, 19, 6, 6, 6
2024/4/27, 3, 10, 13, 5, 6, 5
2024/4/28, 3, 14, 14, 7, 6, 5
2024/4/29, 5, 11, 19, 4, 6, 5
2024/4/30, 3, 5, 18, 3, 8, 6
2024/5/1, 2, 4, 15, 3, 5, 6
2024/5/2, 2, 5, 12, 5, 6, 5
2024/5/3, 2, 8, 13, 5, 6, 5
2024/5/4, 2, 12, 12, 7, 6, 5
2024/5/5, 3, 8, 14, 4, 5, 6
2024/5/6, 2, 9, 15, 5, 4, 5
2024/5/7, 2, 9, 15, 4, 4, 5
2024/5/8, 2, 4, 18, 4, 4, 5
2024/5/9, 1, 8, 15, 5, 5, 5
2024/5/10, 3, 8, 14, 4, 4, 5
2024/5/11, 3, 7, 12, 3, 4, 4
2024/5/12, 3, 6, 14, 6, 5, 5
2024/5/13, 1, 9, 23, 7, 6, 5
2024/5/14, 2, 9, 17, 5, 4, 4
2024/5/15, 3, 9, 33, 5, 5, 5
2024/5/16, 2, 13, 22, 7, 6, 5
2024/5/17, 4, 9, 14, 5, 5, 5
2024/5/18, 4, 9, 13, 7, 6, 4
2024/5/19, 3, 5, 15, 4, 5, 5
2024/5/21, 1, 5, 17, 5, 5, 5
2024/5/22, 1, 4, 11, 2, 5, 5
2024/5/23, 2, 5, 23, 4, 6, 5
2024/5/24, 2, 3, 10, 3, 5, 4
2024/5/26, 2, 10, 22, 5, 6, 4
2024/5/27, 3, 6, 18, 5, 6, 4
2024/5/28, 2, 2, 18, 6, 6, 4
2024/5/29, 1, 4, 14, 4, 6, 4
2024/5/30, 2, 5, 13, 2, 5, 5
2024/5/31, 2, 6, 26, 5, 6, 5
2024/6/1, 3, 6, 17, 4, 5, 4
2024/6/2, 3, 6, 18, 5, 5, 4
2024/6/3, 3, 7, 13, 5, 5, 4
2024/6/4, 5, 15, 7, 3, 5, 4
2024/6/5, 21, 1, 10, 3, 5, 5
2024/6/7, 7, 5, 11, 5, 6, 4
2024/6/8, 3, 2, 11, 2, 7, 3
2024/6/9, 1, 2, , 2, 5, 3
2024/6/11, 2, 3, 22, 3, 5, 3
2024/6/12, 7, 4, 31, 4, 5, 3
2024/6/13, 2, 5, 31, 6, 6, 3
2024/6/14, 3, 3, 17, 7, 6, 3
2024/6/15, 2, 3, 6, 2, 2, 4
2024/6/16, 1, 3, 25, 3, 4, 3
2024/6/17, 1, 3, 21, 4, 5, 3
2024/6/18, 1, 3, 19, 4, 5, 3
2024/6/19, 2, 4, 19, 4, 5, 3
2024/6/20, 2, 3, 16, 3, 6, 3
2024/6/21, 2, 3, 12, 3, , 3
2024/1/2, 2, 2, 12, 5, 5, 6
2024/1/3, 2, 2, 16, 14, 8, 7
2024/1/4, 2, 18, 7, 18, 6, 7
2024/1/5, 6, 10, 13, 12, 2, 8
2024/1/6, 1, 7, 23, 8, 2, 8
2024/1/9, 1, 6, 12, 5, 1, 8
2024/1/10, 1, , , , , 
2024/1/13, 7, 6, 21, 7, 1, 6
2024/1/14, 14, 5, 20, 6, 1, 5
2024/1/15, 2, 6, 23, 6, 1, 5
2024/1/16, 6, 7, 19, 6, , 6
2024/1/17, 28, , , , , 
2024/1/25, 3, 7, 12, 4, 7, 6
2024/1/26, 3, 4, 10, 3, 7, 6
2024/1/27, 1, 7, 11, 3, 8, 6
2024/1/28, 1, 9, 10, 4, 6, 6
2024/1/29, 2, 20, 6, 10, 3, 7
